"time,rtt,tx rate,indiv loss,loss rate,reliability"
"0.009059,0.002265,,,,"
"0.109059,0.003963,226091.3449,0,0,1"
"0.209059,0.005237,171090.3189,0,0,1"
"0.309059,0.006192,144702.8424,0,0,1"
"0.509059,0.006909,129685.9169,1,0,1"
"0.609059,0.007446,120333.0647,0,0,1"
"0.709059,0.007849,114154.6694,0,0,1"
"0.809059,0.008152,109911.6781,0,0,1"
"0.909059,0.008379,106934.0017,0,0,1"
"1.109059,0.008549,104807.5798,1,0.181818182,0.818181818"
"1.209059,0.008676,103273.3979,0,0.181818182,0.818181818"
"1.309059,0.008772,102143.1829,0,0.181818182,0.818181818"
"1.409059,0.008843,101323.0804,0,0.181818182,0.818181818"
"1.509059,0.008897,100708.1039,0,0.181818182,0.818181818"
"1.609059,0.008938,100246.1401,0,0.181818182,0.818181818"
"1.709059,0.008968,99910.79393,0,0.181818182,0.818181818"
"1.809059,0.008991,99655.21077,0,0.181818182,0.818181818"
"2.009059,0.009008,99467.14032,1,0.111111111,0.888888889"
"2.109059,0.00902,99334.81153,0,0.111111111,0.888888889"
"2.209059,0.00903,99224.8062,0,0.111111111,0.888888889"
"2.309059,0.009037,99147.94733,0,0.111111111,0.888888889"
"2.409059,0.009043,99082.163,0,0.111111111,0.888888889"
"2.509059,0.009047,99038.35526,0,0.111111111,0.888888889"
"2.609059,0.00905,99005.52486,0,0.111111111,0.888888889"
"2.809059,0.009052,98983.65002,1,0.111111111,0.888888889"
"2.909059,0.009054,98961.78485,0,0.111111111,0.888888889"
"3.109059,0.009055,98950.85588,1,0.181818182,0.818181818"
"3.209059,0.009056,98939.92933,0,0.181818182,0.818181818"
"3.309059,0.009057,98929.00519,0,0.181818182,0.818181818"
"3.409059,0.009057,98929.00519,0,0.181818182,0.818181818"
"3.509059,0.009057,98929.00519,0,0.181818182,0.818181818"
"3.609059,0.009058,98918.08346,0,0.181818182,0.818181818"
"3.709059,0.009058,98918.08346,0,0.181818182,0.818181818"
"3.809059,0.009058,98918.08346,0,0.181818182,0.818181818"
"3.909059,0.009058,98918.08346,0,0.181818182,0.818181818"
"4.009059,0.009058,98918.08346,0,0,1"
"4.109059,0.009058,98918.08346,0,0,1"
"4.209059,0.009059,98907.16415,0,0,1"
"4.309059,0.009059,98907.16415,0,0,1"
